id,Innovation / Development,Category,type,Now,2020,2020 to 2030,2030,2050,Beyond,Source
Future of Goverment.Climate.innovation.Molecular Agriculture,Molecular Agriculture,Climate,Innovation,Veganism increasing in global population as ecological costs of meat industry become more apparent.,Lab-grown meat becomes affordable.,"Almost all meat-based foods replaced by high tech plant formulations, mimicking the taste, smell, and texture.",,,,BBC
Future of Goverment.Climate.innovation.Smart Sustainable Energy,Smart Sustainable Energy,Climate,Innovation,,"The drive to pioneer efficient and affordable energy solutions drives innovation in the energy, technology and industry sectors.","Passive climate control systems, innovative water/sewage treatment flows, green building materials and high-performance recycling technology","The sharing economy meets renewables, propelling the growth of community solar, crowd-funding, and other forms of shared participation in renewable energy deployment.",A full-scale “grid independence” could be underway with smart- and micro-grids able to store and modulate the viable energy output from renewables.,Renewables as competitive as fossil fuels. ,"Arcosanti, Deloitte"
Future of Goverment.Climate.innovation.Arcology,Arcology,Climate,Innovation,,,,"Architecture and ecology blend to bring eco-design principles to densely populated urban spaces, compact cities where roads & cars are eliminated, green climate tech installed & access to open spaces & nature calms inhabitants of such an intense space. ",,"Green roofs, living walls, elevated walkways and cycleways, vertical gardening and aquaponics, semi-unclosed micro-climates in public spaces, bio-mimicry (emulating nature) on urban rivers and waterfronts. ","Arcosanti, UK Gov."
Future of Goverment.Crime & Security,,,,,,,,,,
Future of Goverment.Crime & Security.development,,,,,,,,,,
Future of Goverment.Crime & Security.development.Corruption reduction,Corruption reduction,Crime & Security,Development,,Open government and digital services lower corruption rates in developed economies. Using tech and citizen-consumer action to tackle corruption elsewhere becomes a priority. ,,,,,Deloitte
Future of Goverment.Crime & Security.development.Cyber-warfare,Cyber-warfare,Crime & Security,Development,,,"As threats easily transcend national borders, emerging cyber security threats call for international cooperation and information sharing, especially during a crisis",Formal global communication channels established to address emerging cyber threats. ,,,KMPG
Future of Goverment.Crime & Security.development.Digital security,Digital security,Crime & Security,Development,,"International cybersecurity in era of open government, open data, and govt. social media is a leading social issue. ",New data-breach prevention laws mandate tighter and more expensive stewardship of citizen and government data.,,,,"Word Economic Forum, KMPG"
Future of Goverment.Demographics,,,,,,,,,,
Future of Goverment.Demographics.development,,,,,,,,,,
Future of Goverment.Demographics.development.Global migration,Global migration,Demographics,Development,,"Immigration policies are relaxed as a result of globalisation, improved education and shortage of local talent. Refugees increase as resources grow scarce in parts of the world.","Global citizens, using sharing economy, locate themselves anywhere in the world",,"Major cities will increase in population by 20.6% as urbanisation continues (by contrast, non-cities population will increase by 12.3% with general population growth).",,"Deloitte, UK Gov"
Future of Goverment.Demographics.development.Aging population,Aging population,Demographics,Development,,"Policies have to take into account an increasingly large dependent segment. Pension reforms to reduce intergenerational inequality, e.g. raising the age of retirement, changing eligibility etc. ",Population aging pushes healthcare & pension spending up 4.4% of GDP by 2030. 13% of the world population is 65+ (versus 8% today),"Aging population. Longer lifespans, higher IQ, restoration of hearing and vision etc, all pose regulatory and ethical challenges. Older employed saturate the jobs market.","Aged Population. Majority of the adult population now over 65 has substantial effect
on governmental & social policy and make-up.","Gerontocracy: The ageing population wields all the power, the young live as outsiders. ","Deloitte, KMPG"
Future of Goverment.Demographics.development.Population decline in west,Population decline in west,Demographics,Development,,,,Decline of the working age population impacts economic policy. ,,,Deloitte
Future of Goverment.Demographics.development.Population growth in east,Population growth in east,Demographics,Development,,"Nations with young populations, e.g. India, see economic growth stem from large working-age segment. ",,By 2030 China and India will account for 35% of world population ,,,"Deloitte, KMPG"
Future of Goverment.Demographics.development.Socio-economic status of women,Socio-economic status of women,Demographics,Development,"Declining birthrates as perception of women as homemakers fades. Women expand the global workforce, influencing political and economic policy worldwide.",,,,,,Deloitte
Future of Goverment.Economics,,,,,,,,,,
Future of Goverment.Economics.development,,,,,,,,,,
Future of Goverment.Economics.development.Income inequalisation,Income inequalisation,Economics,Development,"Global income inequality rising. Governments prioritise access to healthcare, education, etc., for the poorest segments. ","Performance-related salaries. Payment-for-results models become mainstream, shifts financial risk from government to investors. ","Universal Basic Income. As robotics and automation replace jobs, nations experiment with giving their citizens flat-rate salaries, instead of benefits.",,,,Deloitte
Future of Goverment.Economics.development.Patchwork careers,Patchwork careers,Economics,Development,,"More micro-entrepreneurs (e.g. Etsy sellers, Uber drivers). Regulation & tax upheavals to support tech-informed class of individual workers. ","Government workforce expanded to include partnership talent, borrowed talent, freelance talent, open-source talent, home-working talent, gig talent.",Re-learning Economy. National competitiveness relies on ability to continually retrain workers to keep up with changing environment & technologies.,,,Deloitte
Future of Goverment.Economics.development.Post-GDP,Post-GDP,Economics,Development,,,Globalisation of the economy = greater risk for international-scale financial catastrophes. National fiscal regulations need to line up with international regulations to prevent major problems. ,Global levels of public net debt are set to reach 98% of GDP by 2035. Reducing debt becomes a priority to protect the economy from future shocks. ,"Futarchy: policies tied up with market speculation. When the market estimate of welfare is higher for adopting a policy than for not adopting a policy, that proposal becomes law.","Alternatives to GDP take hold. Holistic yardsticks for national progress, e.g. sustainability, health, inclusion, personal freedom... replace GDP as primary measure. ","Deloitte, Journal of Communication Inquiry, KMPG"
Future of Goverment.Economics.development.The talent gap,The talent gap,Economics,Development,,Aging workforces and lack of skilled technical talent drives freelance economy. Governments work with companies and organisations to address skills gap - a nation's talent levels drive their economy. ,,"Expanding middle class. 60% of the global population are middle class, up from 27% in 2009. Knowledge workers dominate the market. But who performs all the manual labour? ",Talent recognised as vital for national success. International borders lowered and remodelled to encourage talent migration. ,,Deloitte
Future of Goverment.Economics.development.Wealth movement west to east,Wealth movement west to east,Economics,Development,,,Tipping Point. Developing countries account for 57% of global GDP.,"Economic power and wealth moves from west to east, shifting global politics. ",China and India account for 25% of global GDP,,"Deloitte, KMPG"
Future of Goverment.Economics.innovation,,,,,,,,,,
Future of Goverment.Economics.innovation.Open Banking,Open Banking,Economics,Innovation,"Lightweight banking services on offer, without the need to maintain heavy banking infrastructure nor comply with complex regulations. Traditional banking under threat.",,,,,,"Deloitte, Business Insider"
Future of Goverment.Economics.innovation.Digital currencies,Digital currencies,Economics,Innovation,,"Mobile payments, digital currencies are fully mainstream. Digital theft protection is a primary concern for governments. ",Bitcoin-based charities creating trust through smart contracts and online reputation systems and allowing donors to see where their donations go through a secure and transparent ledger. ,,,,Deloitte
Future of Goverment.Governance,,,,,,,,,,
Future of Goverment.Governance.development,,,,,,,,,,
Future of Goverment.Governance.development.Collaborative governance,Collaborative governance,Governance,Development,,"Government works with NGOs, corporations, social enterprises and citizens - and other non-state problem solvers.","Reduced, optimised civil service attracts top talent. Return of parastatals, linking of political will & private resources. ",Physical and online innovation spaces - government works with citizens and companies to come up with new ideas.  Governments use crowdsourcing to gain broader input when drafting policy.,Demarchy: rulers are randomly chosen from a pool of selected decision-makers. Term coined by philosopher John Burnheim ,Government allows cities a more active & empowered role - more funding & more authority. ,"Deloitte, J. Burnheim, WEC, McKinsey, KMPG"
Future of Goverment.Governance.development.Data Transparency,Data Transparency,Governance,Development,,Targeted transparency. Public demands government and corporate disclosure. Easily-accessible data is made available. ,,Radical transparency becomes the norm. ,,Radical transparency becomes the law,Deloitte
Future of Goverment.Governance.development.Digital divide,Digital divide,Governance,Development,,"Government faces challenges in delivering public services - reaching both the hyper-connected and the poor, elderly, deeply rural segments who aren't connected. ",,,,,"Deloitte, Museum of Future Government"
Future of Goverment.Governance.development.Digital privacy,Digital privacy,Governance,Development,,Policies and norms around privacy in age of data breaches & IoT becomes a regulatory and ethical issue for government. ,,,,,Deloitte
Future of Goverment.Governance.innovation,,,,,,,,,,
Future of Goverment.Governance.innovation.Citizen-consumers,Citizen-consumers,Governance,Innovation,,Staffing cloud. Permanent employees act as consultants. Flexible teams formed to focus on specific projects.,"Co-creation means people are more invested in government, and engagement increases. New opportunities for national and global problem solving through mass collaboration on vast data sets. ","Governments work with citizens to address challenges, e.g. climate change. ","Noocracy: government of the wise, global brain, 'syntellect', hive-mind. Stems from Plato's 'government of the wise' concept. Popularised by Vladimir Vernadsky.",,"Deloitte, Vladimir Vernadsky"
Future of Goverment.Governance.innovation.Cloud States,Cloud States,Governance,Innovation,,,Collaborative Cloud. Interactive cloud platforms faciliate engagement by citizen-consumers.,,"Cloud States. Extra-territorial initiatives, cross-border connectivity. State boundaries blurred & dissolve as interaction, debate and creation spans borders. ",,
Future of Goverment.Governance.innovation.Data-driven policy,Data-driven policy,Governance,Innovation,,"Big data improves tracking of performance and outcomes, allowing regulators to focus more on achieving goals and less on processes. ","Advanced algorithms provide rich, live data that informs government decision-making.",Preemptive Government. Data used to generate predictive models for government. Resources shifted from reaction to prevention.,"Cyberocracy: emphasises symbolic, cultural, psychological aspects of policymaking. Information unbound, unchannelled. Eventually leads to AI civil service, or even AI head of state. ",,Deloitte
Future of Goverment.Governance.innovation.Governmentio,Government.io,Governance,Innovation,Governments attempt to use social media to engage citizens.,Governments successfully use social media to engage citizens. Social media provides constant stream of localised data for governments to analyse sentiment & track the effectiveness of their services.,"Beta Government. Policy makers apply the 'agile software development model' to policy. Prototypes, pilots, trials, etc.","Governments build platforms, hold partners accountable, manage crowdsourced campaigns etc.","Operational shortcomings addressed using tech and citizen input. One online space for all services, and one physical space in each locale, streamlines govt. ",,"Deloitte, TheVerge, KMPG"
Future of Goverment.Governance.innovation.Triple Bottom Line,Triple Bottom Line ,Governance,Innovation,,Government encourages 'triple-bottom line' businesses - focus on social and environmental goals in addition to financial ones. Multi-trillion-dollar capital markets emerge for social outcomes,"Triple Sector State. Government, business, citizens collaborate to shape the state.","Triple Sector Democracy. Citizens work at solving problems through social, mobile and cloud tech, e.g. micro-tasking, peer-to-peer models. ",,,Deloitte
Future of Goverment.Industry,,,,,,,,,,
Future of Goverment.Industry.development,,,,,,,,,,
Future of Goverment.Industry.development.Industrial Sector changes,Industrial Sector changes,Industry,Development,,"Shift from industry-based sectors to issue-based sectors, e.g. creative industries, agri-food and water, wellbeing and welfare. ",,,,,PwC
Future of Goverment.Industry.development.Innovating to zero,Innovating to zero,Industry,Development,,,"Innovating to zero, e.g. 'zero defects', becomes common goal. ",,,,Deloitte
Future of Goverment.Industry.development.Patient Capitalism,Patient Capitalism,Industry,Development,,Long-term investment in major infrastructure projects bring government and businesses together. ,,,,,Deloitte
Future of Goverment.Industry.innovation,,,,,,,,,,
Future of Goverment.Industry.innovation.3D printing,3D printing,Industry,Innovation,Extensively used in industry for prototyping & proof-of-concept models. Use in art & marketing also on the rise.,,Anybody can invent new products & have them made to order at their local 3D printing hub. ,"Second industrial revolution - mass customization, reduced cost of labour, increasing intellectual property theft. ",,"additive manufacturing, 3D printing of low-cost housing and artifical limbs","Deloitte, Forbes"
Future of Goverment.Public Services,,,,,,,,,,
Future of Goverment.Public Services.development,,,,,,,,,,
Future of Goverment.Public Services.development.Innovative Pricing Models,Innovative Pricing Models,Public Services,Development,,,"Pay-as-you-go systems for public services, which helps to balance demand and provision. Fuel tax replaced with mileage fees.  ","Small direct payments using mobile payment apps, for use of public services, e.g. parks, hospitals. ",,,Deloitte
Future of Goverment.Public Services.innovation,,,,,,,,,,
Future of Goverment.Public Services.innovation.Borderless public service markets,Borderless public service markets ,Public Services,Innovation,,"Medical tourism, outsourcing service delivery, best-in-class governments help other governments, etc.",,,,,"Deloitte, KMPG"
Future of Goverment.Public Services.innovation.Consumerised public services,Consumerised public services,Public Services,Innovation,"Citizens are more aware of their rights, have better access to info and higher expectations of services. ",,"Franchised Services. Business style models for public services - especially utilities, education, healthcare - become the international norm.","Agile Services. Public services follow the path of startups like Uber - digital, user-friendly, agile - satisfies demand. ",Public Service EcoSystem. Police and other authorities treated like any other service providers - i.e. can be rejected and an alternative sought. Technology assists with this (e.g. police bodycams).,,"Deloitte, McKinsey, PwC"
Future of Goverment.Public Services.innovation.Self service public services,Self service public services,Public Services,Innovation,,"Technology-enabled self-service of government services (vehicle registration, income tax etc) expands.",Hyperlocal services. Neighbourhoods crowdfund their own needs. Services like higher education partially released from government. ,"public sector organisations transform from big, all-in-one giants to small, flexible, purpose-driven entities.",,"Operational shortcomings addressed using tech and citizen input. One online space for all services, and one physical space in each locale streamlines govt. ","Deloitte, Museum of Future Government"
Future of Goverment.Technology,,,,,,,,,,
Future of Goverment.Technology.development,,,,,,,,,,
Future of Goverment.Technology.development.Social Media,Social Media,Technology,Development,,"Social media used increasingly to organize protests, shape social narrative, and pressurise governments and policy.",,,,,
Future of Goverment.Technology.innovation,,,,,,,,,,
Future of Goverment.Technology.innovation.5G Cellular networks,5G Cellular networks,Technology,Innovation,From 2019 phones will start to utilise the faster and more efficent next-generation mobile internet.,,"Next generation, ultra fast wireless mobile connections make communication radically more detailed, faster etc","50% of global population have internet by 2030, up from 34% in 2012. ",,,"KMPG, Qualcomm"
Future of Goverment.Technology.innovation.Digital currencies,Digital currencies,Technology,Innovation,,"Mobile payments, digital currencies are fully mainstream. Digital theft protection is a primary concern for governments. ",Bitcoin-based charities creating trust through smart contracts and online reputation systems and allowing donors to see where their donations go through a secure and transparent ledger. ,,,,Deloitte
Future of Goverment.Technology.innovation.3D printing,3D printing,Technology,Innovation,Extensively used in industry for prototyping & proof-of-concept models. Use in art & marketing also on the rise.,,Anybody can invent new products & have them made to order at their local 3D printing hub. ,"Second industrial revolution - mass customization, reduced cost of labour, increasing intellectual property theft. ",,"additive manufacturing, 3D printing of low-cost housing and artifical limbs","Deloitte, Forbes"
Future of Goverment.Technology.innovation.Blockchain,Blockchain,Technology,Innovation,,,"Blockchain acts a bulkwalk against cybercrime. Decentralized, distributed systems creates more robust defenses against data breaches. ","Hospitals and other healthcare organizations create centralized and secure blockchain databases, storing medical records and share only with patients and authorized custodians.","Blockchain reduced bureaucracy increases security, efficiency and transparency in government. Welfare and unemployment benefits more easily verified and distributed. Electoral votes could be counted and verified for legitimacy.",,Forbes
Future of Goverment.Technology.innovation.Geographic Information Systems (GIS),Geographic Information Systems (GIS),Technology,Innovation,Organizations in virtually every field are using GIS to identify problems & understand trends. ,"Governments open up their geospatial tech databases, impacting traffic management, healthcare, infrastructure planning, etc. ",,,,,"Deloitte, ESRI"
Future of Goverment.Technology.innovation.Internet of Things,Internet of Things,Technology,Innovation,,"Governments attempt to integrate IoT tech, using data to improve healthcare, transport, security, defence, infrastructure etc. ",,Connecting objects with infrastructure (e.g. cars and roads) drastically reduce traffic accidents and deaths. And empower rapid disaster response for natural disasters.,,,"Deloitte, Microsoft, Business Insider"
Future of Goverment.Technology.innovation.Open Data Platforms,Open Data Platforms,Technology,Innovation,,,"The release and sharing of data across all governments and industries becomes
a societal norm.",,,,Deloitte
Future of Goverment.Technology.innovation.Driverless vehicles,Driverless vehicles,Technology,Innovation,"Driverless cars tested on roads in the UK, the US, & China. ","Driverless vehicles successfully emerge, using a combination of deep machine learning & computer vision for object recognition.",,,Driverless vehicles unbiquitous. High-value real estate currently used for parking freed up for other uses. ,,"UK Gov, Financial Times"
Future of Goverment.Technology.innovation.Hyperloop,Hyperloop,Technology,Innovation,,,,,"By 2050, Hyperloops - supersonic vehicles fired down enormous vaccum tubes - maybe a widespread form of public transport. ",,Business Insider
Future of Goverment.Technology.innovation.Unmanned aerial vehicles,Unmanned aerial vehicles,Technology,Innovation,,Packages might be delivered to your house by drones. ,"Drones routinely used for policing, geographical surveys, maritime patrol, etc","UAVs used in search & rescue, to deliver medicines & provide internet access in remote locations, to guide blind runners & more.",,,"Deloitte, CB Insights"
Future of Goverment.Technology.Other,,,,,,,,,,
Future of Goverment.Technology.Other.Regulated Technologies,Regulated Technologies,Technology,Other,,,"The capacity of all emergent, next generation tech is carefully and quickly assessed as a priority by governments.",,,,
Future of Goverment.Transport & Cities,,,,,,,,,,
Future of Goverment.Transport & Cities.development,,,,,,,,,,
Future of Goverment.Transport & Cities.development.Infrastructure bottlenecks,Infrastructure bottlenecks,Transport & Cities,Development,Governments need to modernise existing infrastructure - but struggle with cost and vision.,,Political parties campaign on effectiveness. Tackling and reforming the bureacracy becomes a priority campaign issue. ,"Govt investment in connectivity tech to encourage flexible working arrangements, e.g. telecommuting, to reduce pressure on congested cities & overloaded transport systems. ",,,"Deloitte, Verve, McKinsey, KMPG"
Future of Goverment.Transport & Cities.development.Megacities,Megacities,Transport & Cities,Development,Around 7% of people live in cities with 8-figure populations. ,,Urbanisation and city growth creates megacities - near-autonomous hubs where initatives can be tested. No. of megacities (pop 10m+) will increase from 20 today to 37 in 2025,Slums continue to grow - providing infrastructure and amenities to poverty-stricken urban areas become important policy points. Number of people living in city slums to double by 2030 (from 1bn to 2bn),,Seasteading: autonomous modular city states floating on oceans. ,"Deloitte, The Economist, KMPG, UN"
Future of Goverment.Transport & Cities.development.Sharing economy,Sharing economy,Transport & Cities,Development,,"Rideshares, food sharing, skills sharing etc., changes the way cities operate and reduces pressure on government services and infrastructure. ",,,"Reputation Economy. Ebay style ratings of workers & employers creates a technology-mediated
marketplace where reputation is the singular currency.",,Deloitte
Future of Goverment.Transport & Cities.innovation,,,,,,,,,,
Future of Goverment.Transport & Cities.innovation.Flying Cars,Flying Cars,Transport & Cities,Innovation,,Tech companies racing to develop functional flying vehicles. ,,,"Hypersonic aircrafts commonplace, but for the super-wealthy only.",Increasing manned and unmanned aerial vehicle traffic creates difficult and expensive scenarios for city-planners and legislators,
Future of Goverment.Transport & Cities.innovation.Smart Cities,Smart Cities,Transport & Cities,Innovation,"Smart city applications deployed in at least 50 cities globally. Key sectors: security, utilities, healthcare, & economic development, housing & community.  ","Major tech companies build experimental smart cities, which include things like heated roads, modular housing, clean energy, autonomous vehicles, high-speed networks etc.  ",,"The streets will speak, literally. Offering information and services. ","Cost of living lowered, crime reduced 30-40%, first responders arrive 2-17mins faster, commute times cut 15-20%, impact of air pollution reduced 8-15%, emissions lowered 10-15%, solid waste & water use cut, public report problems & weigh in on planning, neighbours are linked, 1-3% boost in employment.",,"Business Insider, Museum of Future Gov, McKinsey"
Future of Goverment.Transport & Cities.innovation.Arcology,Arcology,Transport & Cities,Innovation,,,,"Architecture and ecology blend to bring eco-design principles to densely populated urban spaces, compact cities where roads & cars are eliminated, green climate tech installed & access to open spaces & nature calms inhabitants of such an intense space. ",,"Green roofs, living walls, elevated walkways and cycleways, vertical gardening and aquaponics, semi-unclosed micro-climates in public spaces, bio-mimicry (emulating nature) on urban rivers and waterfronts. ","Arcosanti, UK Gov."
Future of Goverment.Transport & Cities.innovation.Driverless vehicles,Driverless vehicles,Transport & Cities,Innovation,"Driverless cars tested on roads in the UK, the US, & China. ","Driverless vehicles successfully emerge, using a combination of deep machine learning & computer vision for object recognition.",,,Driverless vehicles unbiquitous. High-value real estate currently used for parking freed up for other uses. ,,"UK Gov, Financial Times"
Future of Goverment.Transport & Cities.innovation.Hyperloop,Hyperloop,Transport & Cities,Innovation,,,,,"By 2050, Hyperloops - supersonic vehicles fired down enormous vaccum tubes - maybe a widespread form of public transport. ",,Business Insider
Future of Goverment.Transport & Cities.innovation.Unmanned aerial vehicles,Unmanned aerial vehicles,Transport & Cities,Innovation,,Packages might be delivered to your house by drones. ,"Drones routinely used for policing, geographical surveys, maritime patrol, etc","UAVs used in search & rescue, to deliver medicines & provide internet access in remote locations, to guide blind runners & more.",,,"Deloitte, CB Insights"
